imdbID,Title,Year,Directors
tt28494636,Amor,2023,Virginia Eleuteri Serpieri
tt9141694,La Imatge Permanent,2023,Laura Ferrés
tt13874422,Amžinoji dukra,2022,Joanna Hogg
tt27502250,Anselmas – laiko gaudesys,2023,Wim Wenders
tt0064897,Riten,1969,Ingmar Bergman
tt21482550,Ty mene lubysh?,2023,Tonya Noyabryova
tt20782088,Atsakas saulei,2022,Raineris Kohlbergeras
,Ave vita,1990,Almantas Grikevičius
tt8096846,Müanyag égbolt,2023,"Tiboras Bánóczki,Sarolta Szabó"
tt16090596,Conann,2023,Bernard Mandico
tt14007288,Mal Viver,2023,João Canijo
tt21876722,Kupla,2022,Aleksi Salmenperä
tt27627203,Camping du Lac,2023,Éléonore Saintagnan
tt0115990,Cuba Libre,1996,Christian Petzold
tt23476446,Daaaaaali!,2023,Quentin Dupieux
tt0087136,Dges game utenebia,1983,Lana Gogoberidzė
tt12965010,Eureka,2023,Lisandro Alonso
tt19760052,La Passion de Dodin Bouffant,2023,Tran Anh Hung
tt26440896,Viver Mal,2023,João Canijo
tt26342791,Gyvūnas,2023,Sofia Exarchou
tt27789180,Hypnosen,2023,Ernst De Geer
tt14417122,Imago,2023,Olga Chajdas
tt16103266,Ingeborg Bachmann – Reise in die Wüste,2023,Margarethe von Trotta
tt28236368,Janikas,2023,Quentin Dupieux
tt8469104,Qingchun,2023,Wang Bingas
tt22263934,Jevida,2023,Katja Gauriloff
tt22171832,Kalakas,2023,Isabella Eklöf
tt27156845,Klajojančios girios,2023,Pia Rönicke
tt21226804,Nação Valente,2022,Carlosas Conceição
tt26448972,Mummola,2023,Tia Kouvo
tt23638090,llos eatnu - la elva leve,2023,Ole Giæver
tt21292166,La vie des hommes infâmes,2022,"Gilles Deroo,Marianne Pistone"
tt20603054,MMXX,2023,Cristi Puiu
tt0292081,Macbeth,1982,Béla Tarr
,Mamutų medžioklė,2023,Aistė Stonytė
tt26448954,Mažas pasaulis,2023,Bas Devos
tt0091146,Grandeur et décadence d'un petit commerce de cinéma,1986,Jean-Luc Godard
tt10290244,Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux?,2022,"Amandine Fredon,Benjamin Massoubre"
tt0095607,Medea,1988,Lars von Trier
tt21342370,Las chicas están bien,2023,Itaso Arana
tt26219766,Mieliausioji Fiona,2023,Fiona Tan
tt27543570,Mirusių merginų šokiai,2023,Anna Roller
,Modernus butas,2023,Dainius Liškevičius
tt26612950,Das Lehrerzimmer,2023,Ilkeris Çatakas
tt26746630,Kobieta z…,2023,"Małgorzata Szumowska,Michał Englert"
tt20674118,Munch,2023,Henrik Martin Dahlsbakken
tt24244436,Domakinstvo za Pocetnici,2023,Goran Stolevski
tt0210193,Nausicaa,1970,Agnès Varda
tt20420790,Nähtamatu võitlus,2023,Rainer Sarnet
tt18162096,Nu aștepta prea mult de la sfârșitul lumii,2023,Radu Jude
,Normal Love,2023,Yannickas Mosimannas
tt0070904,Welt am Draht,1973,Rainer Werner Fassbinder
tt27502245,Crowrã,2023,"Renée Nader Messora,João Salaviza"
,Panelė Kenopsija,2023,Denisas Côté
tt20561198,Bastarden,2023,Nikolaj Arcel
tt14230458,Poor Things,2023,Yorgos Lanthimos
tt0091580,"Robinzoniada, anu chemi ingliseli Papa",1987,Nana Džordžadzė
tt26342863,Rozali,2023,Stéphanie Di Giusto
tt26448984,Shidnyj front,2023,"Vitaly Mansky,Yevhen Titarenko"
tt13110998,Saldūs sapnai,2023,Ena Sendijarević
,Neljä pientä aikuista,2023,Selma Vilhunen
tt28239832,Savas kambarys,2023,Matan Yair
tt0204631,Sinema,1977,Liana Eliava
tt12015692,Sirocco et le Royaume des courants d'air,2023,Benoît Chieux
tt28291829,Stepnė,2023,Maryna Vroda
tt14994296,Superpozicija,2023,Karoline Lyngbye
tt12017738,Trys minutės: ištęsimas,2021,Bianca Stigter
,"Turtuolis, vargšas: I serija",1984,Arūnas Žebriūnas
,"Turtuolis, vargšas: II serija",1984,Arūnas Žebriūnas
,"Turtuolis, vargšas: III serija",1984,Arūnas Žebriūnas
,"Turtuolis, vargšas: IV serija",1984,Arūnas Žebriūnas
tt9861230,Tylioji migracija,2023,Malene Choi
tt24216998,Vampire humaniste cherche suicidaire consentant,2023,Ariane Louis-Seize
tt16311444,Motståndaren,2023,Milad Alami
tt9315684,Sumarljós og svo kemur nóttin,2022,Elfaras Adalsteinsas
tt27555514,Una noche con Adela,2023,Hugo Ruiz
tt26218798,Einvera,2023,Ninna Pálmadóttir
,Čiulbanti siela,2023,Deimantas Narkevičius
tt18072882,Šiaurietiški patogumai,2023,Hafsteinn Gunnar Sigurðsson
tt20424066,Šokių karalienė,2023,Aurora Gossé
tt23638508,Fedrelandet,2023,Margreth Olin
tt13846508,Žmogiškosios kūno gėlės,2022,Helena Wittmann
tt19864472,La bête dans la jungle,2023,Patric Chiha
